dataset,detector_backbone,augmentation_policy,selected_policy_name,selection_reason,fallback_used,donor_policy,synthesis_method,filter_policy,compatibility_enabled,labeled_fraction,num_seeds_total,num_seeds_valid,num_seeds_invalid,num_seeds,threshold_mode,threshold_calibration_method,auroc_mean,auroc_std,auroc_median,auroc_min,auroc_max,auprc_mean,auprc_std,auprc_median,auprc_min,auprc_max,best_point_f1_mean,best_point_f1_std,best_point_f1_median,best_point_f1_min,best_point_f1_max,event_precision_mean,event_precision_std,event_precision_median,event_precision_min,event_precision_max,event_recall_mean,event_recall_std,event_recall_median,event_recall_min,event_recall_max,event_f1_mean,event_f1_std,event_f1_median,event_f1_min,event_f1_max,false_positive_events_mean,false_positive_events_std,false_positive_events_median,false_positive_events_min,false_positive_events_max,num_synthetic_windows_mean,num_synthetic_points_mean,num_rejected_synthetic_windows_mean,metrics_valid_partial,metrics_valid_all
TSB-UAD-Public-v2,autoencoder,adaptive_groupwise_transfer,groupwise_cross_dataset_all,detector_family:broad,False,cross_dataset_all,learned_prototype_event_time,no_filter,False,0.05,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.45592283953285806,0.08804590602326805,0.4513800333662496,0.31650466404051575,0.5760908550317977,0.043683438050148106,0.014732925940327461,0.04879308125914959,0.023474596956788597,0.0646197320347783,0.07383569244257629,0.017322061589590793,0.07477125236809222,0.05136601796407186,0.09856925061569133,0.040171175525345035,0.04862957092358875,0.025547445255474453,0.0,0.13548387096774195,0.04322907735329596,0.051885450770437665,0.006993006993006993,0.0,0.1308411214953271,0.03113423068839241,0.03592687481600628,0.011080332409972297,0.0,0.09655172413793103,163.4,190.03641756252935,75.0,1.0,534.0,44.2,1505.6,0.0,False,True
TSB-UAD-Public-v2,autoencoder,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,compatibility_strict,learned_prototype_event_time,strict,True,0.05,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.44911201419842095,0.09158498879613229,0.4150017358079724,0.3275978195871896,0.5843123055455599,0.04311635597964713,0.01459754191169983,0.04625931748582246,0.024008287638692866,0.06445155980244657,0.07202629484094165,0.006709149094227514,0.06807412867221228,0.06430257960588742,0.08077680295123955,0.02894407613969857,0.034137568870046237,0.004273504273504274,0.0,0.0784313725490196,0.1055871140273,0.20259064688651957,0.0033112582781456954,0.0,0.5106382978723404,0.027613858805631348,0.042419304862025886,0.00373134328358209,0.0,0.11059907834101382,129.0,144.95792492996028,47.0,1.0,363.0,1.4,64.0,42.8,False,True
TSB-UAD-Public-v2,autoencoder,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,cross_dataset_all,learned_prototype_event_time,no_filter,False,0.05,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.45592283953285806,0.08804590602326805,0.4513800333662496,0.31650466404051575,0.5760908550317977,0.043683438050148106,0.014732925940327461,0.04879308125914959,0.023474596956788597,0.0646197320347783,0.07383569244257629,0.017322061589590793,0.07477125236809222,0.05136601796407186,0.09856925061569133,0.040171175525345035,0.04862957092358875,0.025547445255474453,0.0,0.13548387096774195,0.04322907735329596,0.051885450770437665,0.006993006993006993,0.0,0.1308411214953271,0.03113423068839241,0.03592687481600628,0.011080332409972297,0.0,0.09655172413793103,163.4,190.03641756252935,75.0,1.0,534.0,44.2,1505.6,0.0,False,True
TSB-UAD-Public-v2,autoencoder,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,cross_dataset_compatible,learned_prototype_event_time,no_filter,True,0.05,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.46038557721361534,0.09055755999402057,0.4441238571619319,0.3147489168762726,0.583894350712695,0.044263288514310474,0.01480447792885296,0.04992204960955075,0.023449485470170516,0.06489589577024965,0.0649576289863496,0.0242971675075758,0.07480291146641933,0.024819494584837544,0.08965556699851242,0.047835775335775335,0.04555546842291391,0.019230769230769232,0.0,0.11428571428571428,0.02447546140806028,0.02229194921386429,0.018691588785046728,0.0,0.05714285714285714,0.0314562474420304,0.03025160489816212,0.016877637130801686,0.0,0.07619047619047618,87.6,51.32095088752741,124.0,4.0,131.0,44.2,1505.6,0.0,False,True
TSB-UAD-Public-v2,autoencoder,random_event_oversampling,random_event_oversampling,fixed_policy,False,,random_event_oversampling,no_filter,False,0.05,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4543662204358944,0.08965223987839402,0.445914882315741,0.32027561815416583,0.5933269967976076,0.04285725607741059,0.01486687781842114,0.043857645417868504,0.02361229648815342,0.06611886878371856,0.06691765081970527,0.02818264968822214,0.07651461838653957,0.01218094236199546,0.09350310153444336,0.033964214711729626,0.03666457970103557,0.02982107355864811,0.0,0.1,0.030864556004742923,0.054752515657758065,0.006993006993006993,0.0,0.14018691588785046,0.01488368462138954,0.01805871226599359,0.011904761904761904,0.0,0.04918032786885246,111.2,189.18076012110745,18.0,1.0,488.0,88.4,3011.2,0.0,False,True
TSB-UAD-Public-v2,autoencoder,real_only,real_only,fixed_policy,False,,none,no_filter,False,0.05,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4646070893129936,0.08451027345799975,0.43311799532520356,0.34970621899037624,0.5943197526406145,0.04479629497604067,0.014905540703617676,0.05087365323053272,0.02480290681848705,0.06609344165741507,0.0484428762886598,0.06493996895547077,0.0,0.0,0.16285438144329897,0.1,0.20000000000000004,0.0,0.0,0.5,0.0007142857142857143,0.0014285714285714286,0.0,0.0,0.0035714285714285713,0.0014184397163120566,0.0028368794326241137,0.0,0.0,0.0070921985815602835,0.6,0.48989794855663565,1.0,0.0,1.0,0.0,0.0,0.0,False,True
TSB-UAD-Public-v2,cnn,adaptive_groupwise_transfer,groupwise_cross_dataset_all,detector_family:broad,False,cross_dataset_all,learned_prototype_event_time,no_filter,False,0.05,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4142780794642307,0.08530810203129927,0.4149619662904037,0.32127482504961763,0.557420873041272,0.04137358110642749,0.014852848050490381,0.0432266312246903,0.02383271122142803,0.06364795952257338,0.05381788042257922,0.02568468322284965,0.06744859786797176,0.022295623451692816,0.07963210897025438,0.03151879854653691,0.028965646344618127,0.0365296803652968,0.0,0.07633587786259542,0.07231173082236911,0.11370219318104614,0.027972027972027972,0.0,0.2978723404255319,0.03162454931624549,0.02973420959085097,0.031683168316831684,0.0,0.07777777777777777,135.2,108.72423832798279,121.0,1.0,299.0,44.2,1505.6,0.0,False,True
TSB-UAD-Public-v2,cnn,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,compatibility_strict,learned_prototype_event_time,strict,True,0.05,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4142780794642307,0.08530810203129927,0.4149619662904037,0.32127482504961763,0.557420873041272,0.04137358110642749,0.014852848050490381,0.0432266312246903,0.02383271122142803,0.06364795952257338,0.06760537345455267,0.012953314557331352,0.06714522363335174,0.04846399903434124,0.08520179372197309,0.17840015117597463,0.2447912108186713,0.0660377358490566,0.030508474576271188,0.6666666666666666,0.07567165214137937,0.11136277033355405,0.025,0.006993006993006993,0.2978723404255319,0.03891205708547308,0.02174209631577731,0.03626943005181347,0.012903225806451613,0.07887323943661972,140.4,126.45726550894574,99.0,1.0,294.0,1.4,64.0,42.8,False,True
TSB-UAD-Public-v2,cnn,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,cross_dataset_all,learned_prototype_event_time,no_filter,False,0.05,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4142780794642307,0.08530810203129927,0.4149619662904037,0.32127482504961763,0.557420873041272,0.04137358110642749,0.014852848050490381,0.0432266312246903,0.02383271122142803,0.06364795952257338,0.05381788042257922,0.02568468322284965,0.06744859786797176,0.022295623451692816,0.07963210897025438,0.03151879854653691,0.028965646344618127,0.0365296803652968,0.0,0.07633587786259542,0.07231173082236911,0.11370219318104614,0.027972027972027972,0.0,0.2978723404255319,0.03162454931624549,0.02973420959085097,0.031683168316831684,0.0,0.07777777777777777,135.2,108.72423832798279,121.0,1.0,299.0,44.2,1505.6,0.0,False,True
TSB-UAD-Public-v2,cnn,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,cross_dataset_compatible,learned_prototype_event_time,no_filter,True,0.05,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4142780794642307,0.08530810203129927,0.4149619662904037,0.32127482504961763,0.557420873041272,0.04137358110642749,0.014852848050490381,0.0432266312246903,0.02383271122142803,0.06364795952257338,0.061876922914819055,0.019923226794475408,0.06719224447725437,0.02319845343643757,0.07719005969734832,0.020484148439420004,0.02542059611288625,0.0,0.0,0.057692307692307696,0.06814589665653495,0.11605632229986078,0.0,0.0,0.2978723404255319,0.025391621129326046,0.0323864639856253,0.0,0.0,0.07777777777777777,108.2,119.34722451737201,44.0,1.0,299.0,44.2,1505.6,0.0,False,True
