dataset,detector_backbone,augmentation_policy,selected_policy_name,selection_reason,fallback_used,donor_policy,synthesis_method,filter_policy,compatibility_enabled,labeled_fraction,num_seeds_total,num_seeds_valid,num_seeds_invalid,num_seeds,threshold_mode,threshold_calibration_method,auroc_mean,auroc_std,auroc_median,auroc_min,auroc_max,auprc_mean,auprc_std,auprc_median,auprc_min,auprc_max,best_point_f1_mean,best_point_f1_std,best_point_f1_median,best_point_f1_min,best_point_f1_max,event_precision_mean,event_precision_std,event_precision_median,event_precision_min,event_precision_max,event_recall_mean,event_recall_std,event_recall_median,event_recall_min,event_recall_max,event_f1_mean,event_f1_std,event_f1_median,event_f1_min,event_f1_max,false_positive_events_mean,false_positive_events_std,false_positive_events_median,false_positive_events_min,false_positive_events_max,num_synthetic_windows_mean,num_synthetic_points_mean,num_rejected_synthetic_windows_mean,metrics_valid_partial,metrics_valid_all
TSB-UAD-Public-v2,autoencoder,adaptive_groupwise_transfer,groupwise_cross_dataset_all,detector_family:broad,False,cross_dataset_all,learned_prototype_event_time,no_filter,False,0.2,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.413762790486615,0.09866602489756411,0.38958922568541743,0.3057852752673515,0.5633021554423657,0.029738988788091614,0.00900464571677815,0.026425166889500005,0.017738565083543635,0.04133625405312944,0.05045556347974883,0.03426977930339565,0.04050820611330166,0.0,0.09947657750072332,0.04700588026272051,0.0551280590954036,0.02912621359223301,0.0,0.1487603305785124,0.1033246225319396,0.14213024620047146,0.0625,0.0,0.38095238095238093,0.045813021711288954,0.04210831611450139,0.041666666666666664,0.0,0.09937888198757763,67.2,55.5964027613298,100.0,0.0,132.0,102.6,1162.6,0.0,False,True
TSB-UAD-Public-v2,autoencoder,compatibility_strict,compatibility_strict,fixed_policy,False,compatibility_strict,learned_prototype_event_time,strict,True,0.2,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.41468656991122155,0.1034690003723468,0.4116305663458764,0.29516826563077836,0.5711115011310209,0.02892559655238166,0.010260631353652863,0.025151063566128014,0.01744786567323253,0.043371701024806975,0.056880096205965014,0.03245173866224991,0.0625328428796637,0.0,0.09205591544493692,0.03789164708028805,0.03552432450233768,0.031512605042016806,0.0,0.10344827586206896,0.050083367274208326,0.04993758985540521,0.040983606557377046,0.0,0.14285714285714285,0.04284832220079645,0.04147914412967228,0.03926701570680628,0.0,0.12000000000000001,148.2,164.74877844767164,121.0,0.0,461.0,1.0,48.6,101.6,False,True
TSB-UAD-Public-v2,autoencoder,cross_dataset_all,cross_dataset_all,fixed_policy,False,cross_dataset_all,learned_prototype_event_time,no_filter,False,0.2,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4109291128755267,0.09881654749164559,0.3858515590438569,0.28966991757108235,0.5631379074733166,0.02964498649303802,0.008731692538326733,0.027740912542747714,0.017367399100982027,0.040593858709662006,0.05695278006002461,0.03388539104102734,0.05291828793774319,0.0,0.09172674541483691,0.048515268515268516,0.045368157994115886,0.05945945945945946,0.0,0.12121212121212122,0.07209282263630089,0.07042455271400587,0.07971014492753623,0.0,0.19047619047619047,0.057941186188024615,0.055128036211234785,0.06811145510835913,0.0,0.14814814814814814,119.6,151.5474843077245,29.0,0.0,394.0,102.6,1162.6,0.0,False,True
TSB-UAD-Public-v2,autoencoder,cross_dataset_compatible,cross_dataset_compatible,fixed_policy,False,cross_dataset_compatible,learned_prototype_event_time,no_filter,True,0.2,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4092804282377,0.10278577994600674,0.4058457687753748,0.2788245658832841,0.5651218823659938,0.029052857379418186,0.009051381350506742,0.025022873567255615,0.018146515623376186,0.04153461464840485,0.06157187588973241,0.020803092919116983,0.06250168522662927,0.038612822866133475,0.09167835847071203,0.08376812472761298,0.04730059242840715,0.06716417910447761,0.030303030303030304,0.16326530612244897,0.11878868880329166,0.15782074969467816,0.03278688524590164,0.007246376811594203,0.42857142857142855,0.058346570277215716,0.033935535477102145,0.050314465408805034,0.011695906432748539,0.11612903225806451,61.4,35.623587691303634,41.0,32.0,125.0,102.6,1162.6,0.0,False,True
TSB-UAD-Public-v2,autoencoder,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,compatibility_strict,learned_prototype_event_time,strict,True,0.2,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.41468656991122155,0.1034690003723468,0.4116305663458764,0.29516826563077836,0.5711115011310209,0.02892559655238166,0.010260631353652863,0.025151063566128014,0.01744786567323253,0.043371701024806975,0.056880096205965014,0.03245173866224991,0.0625328428796637,0.0,0.09205591544493692,0.03789164708028805,0.03552432450233768,0.031512605042016806,0.0,0.10344827586206896,0.050083367274208326,0.04993758985540521,0.040983606557377046,0.0,0.14285714285714285,0.04284832220079645,0.04147914412967228,0.03926701570680628,0.0,0.12000000000000001,148.2,164.74877844767164,121.0,0.0,461.0,1.0,48.6,101.6,False,True
TSB-UAD-Public-v2,autoencoder,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,cross_dataset_all,learned_prototype_event_time,no_filter,False,0.2,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.413762790486615,0.09866602489756411,0.38958922568541743,0.3057852752673515,0.5633021554423657,0.029738988788091614,0.00900464571677815,0.026425166889500005,0.017738565083543635,0.04133625405312944,0.05045556347974883,0.03426977930339565,0.04050820611330166,0.0,0.09947657750072332,0.04700588026272051,0.0551280590954036,0.02912621359223301,0.0,0.1487603305785124,0.1033246225319396,0.14213024620047146,0.0625,0.0,0.38095238095238093,0.045813021711288954,0.04210831611450139,0.041666666666666664,0.0,0.09937888198757763,67.2,55.5964027613298,100.0,0.0,132.0,102.6,1162.6,0.0,False,True
TSB-UAD-Public-v2,autoencoder,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,cross_dataset_compatible,learned_prototype_event_time,no_filter,True,0.2,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4085087321119345,0.09614156494472542,0.41431498031289477,0.3044808333324504,0.5640354707593741,0.03071414382663872,0.008328113830360966,0.03233490042665765,0.01781777490397235,0.041525686530331334,0.06013422692797501,0.01750271439092297,0.05801233176423788,0.03900020656889072,0.0841398890179378,0.0187875150060024,0.01710589496331993,0.02040816326530612,0.0,0.04411764705882353,0.09551036728165876,0.1668903102377791,0.024390243902439025,0.0,0.42857142857142855,0.025801587301587305,0.029266677686005257,0.02222222222222222,0.0,0.08,68.8,72.7527319074686,48.0,1.0,195.0,102.6,1162.6,0.0,False,True
TSB-UAD-Public-v2,autoencoder,random_event_oversampling,random_event_oversampling,fixed_policy,False,,random_event_oversampling,no_filter,False,0.2,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.41034253467368387,0.10482103336408607,0.3828955113130755,0.2989316011222562,0.5782276535045402,0.03238939936081273,0.00973721972819577,0.03787833661972591,0.017944600972755576,0.04382791751542159,0.06507782151762131,0.021937265540634403,0.05373059379838473,0.04119402985074627,0.09563422005446004,0.06517131911354235,0.007662703514302636,0.0641025641025641,0.056179775280898875,0.07816711590296496,0.19760905506672416,0.1483956768453297,0.13114754098360656,0.04861111111111111,0.47619047619047616,0.08831120286072949,0.020210465387964244,0.0896358543417367,0.05343511450381679,0.11394891944990178,204.8,87.23164563390972,219.0,73.0,342.0,205.2,2325.2,0.0,False,True
TSB-UAD-Public-v2,autoencoder,real_only,real_only,fixed_policy,False,,none,no_filter,False,0.2,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.41682177466886927,0.10144277138330422,0.4120920227039703,0.30748865341650594,0.5764050074147764,0.028761353293619653,0.009965877924663205,0.0250883215639769,0.017712486678449386,0.04285938816764303,0.0013414035661704563,0.0026828071323409127,0.0,0.0,0.006707017830852282,0.0031007751937984496,0.006201550387596899,0.0,0.0,0.015503875968992248,0.002898550724637681,0.005797101449275362,0.0,0.0,0.014492753623188406,0.00299625468164794,0.00599250936329588,0.0,0.0,0.0149812734082397,25.4,50.8,0.0,0.0,127.0,0.0,0.0,0.0,False,True
TSB-UAD-Public-v2,cnn,adaptive_groupwise_transfer,groupwise_cross_dataset_all,detector_family:broad,False,cross_dataset_all,learned_prototype_event_time,no_filter,False,0.2,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.3883306177026105,0.08212498477506679,0.3381112042321943,0.3168522667188278,0.5320997412749667,0.02739392748169136,0.009344188687686042,0.025869162743430093,0.018072845082145177,0.04413519513808116,0.06687640299258843,0.012383547937154148,0.06873289632788138,0.05290976007969671,0.0841398890179378,0.002666666666666667,0.005333333333333334,0.0,0.0,0.013333333333333334,0.0049180327868852455,0.00983606557377049,0.0,0.0,0.02459016393442623,0.0034582132564841494,0.006916426512968298,0.0,0.0,0.017291066282420747,45.2,88.4,1.0,1.0,222.0,102.6,1162.6,0.0,False,True
TSB-UAD-Public-v2,cnn,compatibility_strict,compatibility_strict,fixed_policy,False,compatibility_strict,learned_prototype_event_time,strict,True,0.2,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.3883306177026105,0.08212498477506679,0.3381112042321943,0.3168522667188278,0.5320997412749667,0.02739392748169136,0.009344188687686042,0.025869162743430093,0.018072845082145177,0.04413519513808116,0.04510281308309175,0.025092457133219292,0.052913497676896216,0.0,0.0756369716134191,0.02501922241166048,0.025306509528431432,0.01775147928994083,0.0,0.06497175141242938,0.07342733541504033,0.08778151991171376,0.04918032786885246,0.0,0.23809523809523808,0.03393609858151674,0.03234757998943208,0.026086956521739126,0.0,0.07194244604316546,155.4,149.53875751790906,113.0,0.0,332.0,1.0,48.6,101.6,False,True
TSB-UAD-Public-v2,cnn,cross_dataset_all,cross_dataset_all,fixed_policy,False,cross_dataset_all,learned_prototype_event_time,no_filter,False,0.2,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.3883306177026105,0.08212498477506679,0.3381112042321943,0.3168522667188278,0.5320997412749667,0.02739392748169136,0.009344188687686042,0.025869162743430093,0.018072845082145177,0.04413519513808116,0.06677166042849934,0.012369609362725114,0.06820918350743597,0.05290976007969671,0.0841398890179378,0.0026431718061674008,0.0052863436123348016,0.0,0.0,0.013215859030837005,0.0049180327868852455,0.00983606557377049,0.0,0.0,0.02459016393442623,0.0034383954154727794,0.006876790830945559,0.0,0.0,0.017191977077363897,45.6,89.20000000000002,1.0,1.0,224.0,102.6,1162.6,0.0,False,True
TSB-UAD-Public-v2,cnn,cross_dataset_compatible,cross_dataset_compatible,fixed_policy,False,cross_dataset_compatible,learned_prototype_event_time,no_filter,True,0.2,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.3883306177026105,0.08212498477506679,0.3381112042321943,0.3168522667188278,0.5320997412749667,0.02739392748169136,0.009344188687686042,0.025869162743430093,0.018072845082145177,0.04413519513808116,0.06680140984964486,0.012373209238415641,0.06835793061316356,0.05290976007969671,0.0841398890179378,0.0027149321266968325,0.005429864253393666,0.0,0.0,0.013574660633484163,0.0049180327868852455,0.00983606557377049,0.0,0.0,0.02459016393442623,0.003498542274052478,0.006997084548104956,0.0,0.0,0.01749271137026239,44.4,86.8,1.0,1.0,218.0,102.6,1162.6,0.0,False,True
TSB-UAD-Public-v2,cnn,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,compatibility_strict,learned_prototype_event_time,strict,True,0.2,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.3883306177026105,0.08212498477506679,0.3381112042321943,0.3168522667188278,0.5320997412749667,0.02739392748169136,0.009344188687686042,0.025869162743430093,0.018072845082145177,0.04413519513808116,0.04510281308309175,0.025092457133219292,0.052913497676896216,0.0,0.0756369716134191,0.02501922241166048,0.025306509528431432,0.01775147928994083,0.0,0.06497175141242938,0.07342733541504033,0.08778151991171376,0.04918032786885246,0.0,0.23809523809523808,0.03393609858151674,0.03234757998943208,0.026086956521739126,0.0,0.07194244604316546,155.4,149.53875751790906,113.0,0.0,332.0,1.0,48.6,101.6,False,True
TSB-UAD-Public-v2,cnn,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,cross_dataset_all,learned_prototype_event_time,no_filter,False,0.2,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.3883306177026105,0.08212498477506679,0.3381112042321943,0.3168522667188278,0.5320997412749667,0.02739392748169136,0.009344188687686042,0.025869162743430093,0.018072845082145177,0.04413519513808116,0.06687640299258843,0.012383547937154148,0.06873289632788138,0.05290976007969671,0.0841398890179378,0.002666666666666667,0.005333333333333334,0.0,0.0,0.013333333333333334,0.0049180327868852455,0.00983606557377049,0.0,0.0,0.02459016393442623,0.0034582132564841494,0.006916426512968298,0.0,0.0,0.017291066282420747,45.2,88.4,1.0,1.0,222.0,102.6,1162.6,0.0,False,True
TSB-UAD-Public-v2,cnn,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,cross_dataset_compatible,learned_prototype_event_time,no_filter,True,0.2,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.3883306177026105,0.08212498477506679,0.3381112042321943,0.3168522667188278,0.5320997412749667,0.02739392748169136,0.009344188687686042,0.025869162743430093,0.018072845082145177,0.04413519513808116,0.06652577792782868,0.012350795321116758,0.06697977100408263,0.05290976007969671,0.0841398890179378,0.0018867924528301887,0.003773584905660377,0.0,0.0,0.009433962264150943,0.003278688524590164,0.006557377049180329,0.0,0.0,0.01639344262295082,0.0023952095808383233,0.004790419161676647,0.0,0.0,0.011976047904191616,42.8,83.59999999999998,1.0,1.0,210.0,102.6,1162.6,0.0,False,True
TSB-UAD-Public-v2,cnn,random_event_oversampling,random_event_oversampling,fixed_policy,False,,random_event_oversampling,no_filter,False,0.2,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.3883306177026105,0.08212498477506679,0.3381112042321943,0.3168522667188278,0.5320997412749667,0.02739392748169136,0.009344188687686042,0.025869162743430093,0.018072845082145177,0.04413519513808116,0.06362003681642382,0.020055283416156276,0.0658624062601891,0.031158816173405584,0.0841398890179378,0.01937069705569782,0.02449485666718379,0.004672897196261682,0.0,0.06349206349206349,0.041441394456710065,0.04751913257024335,0.00819672131147541,0.0,0.10144927536231885,0.025520778476050044,0.030648565334929725,0.005952380952380953,0.0,0.07692307692307693,149.6,179.79276959878,59.0,1.0,474.0,205.2,2325.2,0.0,False,True
TSB-UAD-Public-v2,cnn,real_only,real_only,fixed_policy,False,,none,no_filter,False,0.2,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.3883306177026105,0.08212498477506679,0.3381112042321943,0.3168522667188278,0.5320997412749667,0.02739392748169136,0.009344188687686042,0.025869162743430093,0.018072845082145177,0.04413519513808116,0.0016087714363234279,0.002814159180109113,0.0,0.0,0.007198905766323519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,16.436544649043483,2.0,0.0,43.0,0.0,0.0,0.0,False,True
TSB-UAD-Public-v2,iforest,adaptive_groupwise_transfer,groupwise_cross_dataset_compatible,detector_family:density,False,cross_dataset_compatible,learned_prototype_event_time,no_filter,True,0.2,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.426920587497445,0.10441681555301557,0.379020518779968,0.3259065805599787,0.6005594964508324,0.04777779919397783,0.016881577342856866,0.048399301610332596,0.019443802062457445,0.06934269834394263,0.06476956794830986,0.017584774547344376,0.05883066472586123,0.0462323132609411,0.08863655269944264,0.08557169760559591,0.0886607107279951,0.07627118644067797,0.0,0.25,0.09639834542373527,0.16631678351942863,0.020833333333333332,0.0,0.42857142857142855,0.04365424224111576,0.04573094519159642,0.0335195530726257,0.0,0.12949640287769787,56.4,34.23799059524376,62.0,3.0,109.0,102.6,1162.6,0.0,False,True
TSB-UAD-Public-v2,iforest,compatibility_strict,compatibility_strict,fixed_policy,False,compatibility_strict,learned_prototype_event_time,strict,True,0.2,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.426920587497445,0.10441681555301557,0.379020518779968,0.3259065805599787,0.6005594964508324,0.04777779919397783,0.016881577342856866,0.048399301610332596,0.019443802062457445,0.06934269834394263,0.058171282354596454,0.03437023424013063,0.054969461410327596,0.0,0.10132955707654787,0.045425675991220285,0.038013422913626596,0.061224489795918366,0.0,0.08695652173913043,0.052097970335675245,0.07150233422749651,0.020833333333333332,0.0,0.19047619047619047,0.04221942571644837,0.044686098031216516,0.031088082901554404,0.0,0.11940298507462685,50.0,30.80259729308553,46.0,0.0,92.0,1.0,48.6,101.6,False,True
TSB-UAD-Public-v2,iforest,cross_dataset_all,cross_dataset_all,fixed_policy,False,cross_dataset_all,learned_prototype_event_time,no_filter,False,0.2,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.426920587497445,0.10441681555301557,0.379020518779968,0.3259065805599787,0.6005594964508324,0.04777779919397783,0.016881577342856866,0.048399301610332596,0.019443802062457445,0.06934269834394263,0.03967195934277042,0.03265680915344566,0.05122436618499611,0.0,0.08863655269944264,0.03765916149068323,0.04015334071424512,0.015625,0.0,0.08695652173913043,0.04516045548654244,0.07311349140195987,0.014492753623188406,0.0,0.19047619047619047,0.03359202642644299,0.04464222512062428,0.015037593984962405,0.0,0.11940298507462685,46.8,46.45169534042864,42.0,0.0,126.0,102.6,1162.6,0.0,False,True
TSB-UAD-Public-v2,iforest,cross_dataset_compatible,cross_dataset_compatible,fixed_policy,False,cross_dataset_compatible,learned_prototype_event_time,no_filter,True,0.2,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.426920587497445,0.10441681555301557,0.379020518779968,0.3259065805599787,0.6005594964508324,0.04777779919397783,0.016881577342856866,0.048399301610332596,0.019443802062457445,0.06934269834394263,0.06572584235682252,0.017115399700363073,0.05883066472586123,0.0462323132609411,0.08948496431648954,0.09556590752242926,0.08974873358766168,0.08695652173913043,0.0,0.25,0.04669596447135431,0.07231762002595905,0.010416666666666666,0.0,0.19047619047619047,0.038777801912130275,0.0428963588119529,0.019230769230769232,0.0,0.11940298507462685,34.4,20.382345301755635,42.0,3.0,62.0,102.6,1162.6,0.0,False,True
