detector_backbone,augmentation_policy,selected_policy_name,selection_reason,fallback_used,threshold,threshold_mode,calibration_f1,synthetic_score_mean,normal_score_mean,synthetic_normal_score_gap,split_seed
internal_classifier,real_only,real_only,fixed_policy,False,0.4323785725544253,oracle_val,0.16939672393128247,,,,0
internal_classifier,random_event_oversampling,random_event_oversampling,fixed_policy,False,0.035513021461297326,oracle_val,0.0978379219163167,,,,0
internal_classifier,cross_dataset_all,cross_dataset_all,fixed_policy,False,0.3847598236771079,oracle_val,0.148124191461837,,,,0
internal_classifier,cross_dataset_compatible,cross_dataset_compatible,fixed_policy,False,0.30639589843929943,oracle_val,0.19185863048280213,,,,0
internal_classifier,compatibility_strict,compatibility_strict,fixed_policy,False,0.3927562435796077,oracle_val,0.14945652173913043,,,,0
internal_classifier,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,0.36987907074426185,oracle_val,0.1349206349206349,,,,0
internal_classifier,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,0.3146797351724463,oracle_val,0.16515151515151516,,,,0
internal_classifier,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,0.3927562435796077,oracle_val,0.14945652173913043,,,,0
internal_classifier,adaptive_groupwise_transfer,groupwise_cross_dataset_all,detector_family:broad,False,0.36987907074426185,oracle_val,0.1349206349206349,,,,0
iforest,real_only,real_only,fixed_policy,False,0.4389852710650229,synthetic_separation,,,0.3366157368022419,,0
iforest,random_event_oversampling,random_event_oversampling,fixed_policy,False,0.2976381072176639,synthetic_separation,0.09936424755753255,0.3078202372631953,0.3366157368022419,-0.028795499539046587,0
iforest,cross_dataset_all,cross_dataset_all,fixed_policy,False,0.46823399360178736,synthetic_separation,0.05981794538361508,0.31066884425450725,0.3366157368022419,-0.025946892547734635,0
iforest,cross_dataset_compatible,cross_dataset_compatible,fixed_policy,False,0.2976381072176639,synthetic_separation,0.05334873473229374,0.2987885127047842,0.3366157368022419,-0.0378272240974577,0
iforest,compatibility_strict,compatibility_strict,fixed_policy,False,0.2978676923907197,synthetic_separation,0.0011493938315864372,0.2985427040069031,0.3366157368022419,-0.0380730327953388,0
iforest,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,0.46823399360178736,synthetic_separation,0.06107862248213125,0.31253276518098444,0.3366157368022419,-0.024082971621257443,0
iforest,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,0.2976381072176639,synthetic_separation,0.05284892055544858,0.30071649709013587,0.3366157368022419,-0.03589923971210601,0
iforest,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,0.2978676923907197,synthetic_separation,0.0011493938315864372,0.2985427040069031,0.3366157368022419,-0.0380730327953388,0
iforest,adaptive_groupwise_transfer,groupwise_cross_dataset_compatible,detector_family:density,False,0.2976381072176639,synthetic_separation,0.05284892055544858,0.30071649709013587,0.3366157368022419,-0.03589923971210601,0
ocsvm,real_only,real_only,fixed_policy,False,0.6029562244268618,synthetic_separation,,,0.05987450965705865,,0
ocsvm,random_event_oversampling,random_event_oversampling,fixed_policy,False,0.0,synthetic_separation,0.09598864570105325,27.708790580791188,0.05987450965705865,27.648916071134128,0
ocsvm,cross_dataset_all,cross_dataset_all,fixed_policy,False,1.2076329559456553,synthetic_separation,0.059508408796895215,30.676174261235964,0.05987450965705865,30.616299751578904,0
ocsvm,cross_dataset_compatible,cross_dataset_compatible,fixed_policy,False,0.00011178910983116223,synthetic_separation,0.05837725140441304,0.000752934102720494,0.05987450965705865,-0.059121575554338154,0
ocsvm,compatibility_strict,compatibility_strict,fixed_policy,False,0.0,synthetic_separation,0.0008668730650154799,0.0,0.05987450965705865,-0.05987450965705865,0
ocsvm,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,0.0,synthetic_separation,0.050413904037035585,6.859673456713955,0.05987450965705865,6.799798947056896,0
ocsvm,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,0.0,synthetic_separation,0.050413904037035585,0.00011570379006169211,0.05987450965705865,-0.05975880586699696,0
