candidate_id,method,labeled_fraction,target_series_id,source_series_id,target_start,target_end,target_length,target_dataset,source_dataset,same_dataset,donor_policy,synthesis_method,filter_method,compatibility_enabled,compatibility_score,shape_similarity,amplitude_compatibility,duration_compatibility,context_similarity,frequency_similarity,trend_similarity,compatibility_decision,compatibility_rejection_reason,donor_similarity,reconstruction_consistency,donor_agreement,filter_amplitude_compatibility,final_confidence,calibration_method,scale,shift,boundary_continuity_error,accepted,rejection_reason,rejection_stage,donor_series_ids,donor_starts,donor_ends,donor_lengths,donor_similarity_mean,donor_similarity_min,donor_similarity_max
IOPS/KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea:1595:1643:candidate:IOPS/KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd:learned_prototype_event_time__same_dataset_only,learned_prototype_event_time__same_dataset_only,0.2,IOPS/KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea,IOPS/KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd,1595,1643,48,IOPS,IOPS,True,same_dataset_only,learned_prototype_event_time,no_filter,False,,,,,,,,not_applied,,,,,,,,,,,True,,compatibility,,,,,,,
IOPS/KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea:1595:1643:candidate:IOPS/KPI-c02607e8-7399-3dde-9d28-8a8da5e5d251:learned_prototype_event_time__same_dataset_only,learned_prototype_event_time__same_dataset_only,0.2,IOPS/KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea,IOPS/KPI-c02607e8-7399-3dde-9d28-8a8da5e5d251,1595,1643,48,IOPS,IOPS,True,same_dataset_only,learned_prototype_event_time,no_filter,False,,,,,,,,not_applied,,,,,,,,,,,True,,compatibility,,,,,,,
IOPS/KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea:1595:1643:candidate:IOPS/KPI-e0747cad-8dc8-38a9-a9ab-855b61f5551d:learned_prototype_event_time__same_dataset_only,learned_prototype_event_time__same_dataset_only,0.2,IOPS/KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea,IOPS/KPI-e0747cad-8dc8-38a9-a9ab-855b61f5551d,1595,1643,48,IOPS,IOPS,True,same_dataset_only,learned_prototype_event_time,no_filter,False,,,,,,,,not_applied,,,,,,,,,,,True,,compatibility,,,,,,,
IOPS/KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea:1595:1643:learned_prototype_event_time__same_dataset_only,learned_prototype_event_time__same_dataset_only,0.2,IOPS/KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea,IOPS/KPI-e0747cad-8dc8-38a9-a9ab-855b61f5551d,1595,1643,48,IOPS,IOPS,True,same_dataset_only,learned_prototype_event_time,no_filter,False,,,,,,,,not_applied,,0.8368699696438969,0.9962126869190838,0.33806327480023196,0.16033956413588712,0.6032626276692878,none,1.0,0.0,,True,,kept,IOPS/KPI-e0747cad-8dc8-38a9-a9ab-855b61f5551d|IOPS/KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd|IOPS/KPI-c02607e8-7399-3dde-9d28-8a8da5e5d251,1597|5728|2278,1644|5771|2281,47|43|3,0.8368699696438969,0.7099829297277374,0.9606772296217433
IOPS/KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea:2159:2166:candidate:IOPS/KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd:learned_prototype_event_time__same_dataset_only,learned_prototype_event_time__same_dataset_only,0.2,IOPS/KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea,IOPS/KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd,2159,2166,7,IOPS,IOPS,True,same_dataset_only,learned_prototype_event_time,no_filter,False,,,,,,,,not_applied,,,,,,,,,,,True,,compatibility,,,,,,,
IOPS/KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea:2159:2166:candidate:IOPS/KPI-c02607e8-7399-3dde-9d28-8a8da5e5d251:learned_prototype_event_time__same_dataset_only,learned_prototype_event_time__same_dataset_only,0.2,IOPS/KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea,IOPS/KPI-c02607e8-7399-3dde-9d28-8a8da5e5d251,2159,2166,7,IOPS,IOPS,True,same_dataset_only,learned_prototype_event_time,no_filter,False,,,,,,,,not_applied,,,,,,,,,,,True,,compatibility,,,,,,,
IOPS/KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea:2159:2166:candidate:IOPS/KPI-e0747cad-8dc8-38a9-a9ab-855b61f5551d:learned_prototype_event_time__same_dataset_only,learned_prototype_event_time__same_dataset_only,0.2,IOPS/KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea,IOPS/KPI-e0747cad-8dc8-38a9-a9ab-855b61f5551d,2159,2166,7,IOPS,IOPS,True,same_dataset_only,learned_prototype_event_time,no_filter,False,,,,,,,,not_applied,,,,,,,,,,,True,,compatibility,,,,,,,
IOPS/KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea:2159:2166:learned_prototype_event_time__same_dataset_only,learned_prototype_event_time__same_dataset_only,0.2,IOPS/KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea,IOPS/KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd,2159,2166,7,IOPS,IOPS,True,same_dataset_only,learned_prototype_event_time,no_filter,False,,,,,,,,not_applied,,0.9116762692413988,0.8182550641698824,0.8146299333410779,0.15052768448165518,0.6848127041533287,none,1.0,0.0,,True,,kept,IOPS/KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd|IOPS/KPI-c02607e8-7399-3dde-9d28-8a8da5e5d251|IOPS/KPI-e0747cad-8dc8-38a9-a9ab-855b61f5551d,5728|2278|2037,5771|2281|2063,43|3|26,0.9116762692413988,0.8820590747461788,0.9458077001688352
IOPS/KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea:3587:3591:candidate:IOPS/KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd:learned_prototype_event_time__same_dataset_only,learned_prototype_event_time__same_dataset_only,0.2,IOPS/KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea,IOPS/KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd,3587,3591,4,IOPS,IOPS,True,same_dataset_only,learned_prototype_event_time,no_filter,False,,,,,,,,not_applied,,,,,,,,,,,True,,compatibility,,,,,,,
IOPS/KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea:3587:3591:candidate:IOPS/KPI-c02607e8-7399-3dde-9d28-8a8da5e5d251:learned_prototype_event_time__same_dataset_only,learned_prototype_event_time__same_dataset_only,0.2,IOPS/KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea,IOPS/KPI-c02607e8-7399-3dde-9d28-8a8da5e5d251,3587,3591,4,IOPS,IOPS,True,same_dataset_only,learned_prototype_event_time,no_filter,False,,,,,,,,not_applied,,,,,,,,,,,True,,compatibility,,,,,,,
