method,donor_policy,synthesis_method,filter_policy,compatibility_enabled,labeled_fraction,auroc,auprc,best_point_f1,event_precision,event_recall,event_f1,false_positive_events,metrics_valid,metrics_invalid_reason,num_synthetic_windows,num_synthetic_points,num_rejected_synthetic_windows,num_real_positive_train_points
real_only,,,,False,0.2,0.6349430904565723,0.05739412477410542,0.12157099697885196,0.05234460196292257,0.14634146341463414,0.07710843373493977,869.0,True,,0,0,0,4866
random_event_oversampling,,,,False,0.2,0.6368425910056786,0.05867069126247814,0.12197397059476747,0.05049594229035167,0.17073170731707318,0.0779401530967293,1053.0,True,,762,14598,0,4866
learned_prototype_event_time__all_donors_no_filter,all_donors_no_filter,learned_prototype_event_time,none,False,0.2,0.5922831539630702,0.06854504573675778,0.090715667311412,0.04,0.09451219512195122,0.056210335448776065,744.0,True,,254,4866,10414,4866
learned_prototype_event_time__same_dataset_only,same_dataset_only,learned_prototype_event_time,none,False,0.2,0.5669351463019394,0.0482489038830123,0.08228741972446506,0.03383214053350683,0.15853658536585366,0.05576407506702413,1485.0,True,,254,4866,2532,4866
learned_prototype_event_time__cross_dataset_all,cross_dataset_all,learned_prototype_event_time,none,False,0.2,0.5762849586567722,0.04824739071042301,0.07481923923294562,0.037209302325581395,0.0975609756097561,0.05387205387205387,828.0,True,,254,4866,7882,4866
learned_prototype_event_time__cross_dataset_compatible,cross_dataset_compatible,learned_prototype_event_time,none,True,0.2,0.5813043940450164,0.04933724204737504,0.09692796610169492,0.05655042412818096,0.18292682926829268,0.08639308855291578,1001.0,True,,254,4866,7882,4866
learned_prototype_event_time__compatibility_top50,compatibility_top50,learned_prototype_event_time,none,True,0.2,0.6022770168452569,0.05251528640061387,0.09870271251020593,0.03574033552151714,0.14939024390243902,0.05768098881695114,1322.0,True,,254,4866,10414,4866
learned_prototype_event_time__compatibility_strict,compatibility_strict,learned_prototype_event_time,none,True,0.2,0.6244039178649785,0.05546831714646033,0.11545909139270136,0.0749063670411985,0.18292682926829268,0.10628875110717449,741.0,True,,254,4446,10414,4866
learned_prototype_event_time__strict_filter,cross_dataset_compatible,learned_prototype_event_time,strict,True,0.2,0.6445424031955682,0.06021616252357783,0.12532063026749726,0.052904564315352696,0.15548780487804878,0.07894736842105263,913.0,True,,1,26,8135,4866
dtw_aligned_donor__cross_dataset_compatible,cross_dataset_compatible,dtw_aligned_donor,none,True,0.2,0.5685942522528071,0.062029970342266566,0.08571958358718974,0.025048169556840076,0.11890243902439024,0.041379310344827586,1518.0,True,,254,4866,7882,4866
normalized_time_mean_donor__cross_dataset_compatible,cross_dataset_compatible,normalized_time_mean_donor,none,True,0.2,0.5521308880189963,0.04654838919606763,0.09624026696329255,0.03796376186367558,0.13414634146341464,0.05917955615332885,1115.0,True,,254,4866,7882,4866
