event_id,series_id,mask_policy,method,synthesis_method,donor_policy,mask_start,mask_end,event_length,num_donors,masked_region_MAE,masked_region_MSE,normalized_MAE_by_event_std,shape_correlation,boundary_continuity_error
domain_c/series_002_event_0,domain_c/series_002,middle_30,learned_prototype_event_time__all_donors_no_filter,learned_prototype_event_time,all_donors_no_filter,2,4,6,3,0.09988956062295351,0.010310698317357042,0.3526526098654023,0.9999999999999998,0.09988956062295351
domain_c/series_002_event_0,domain_c/series_002,middle_30,learned_prototype_event_time__cross_dataset_compatible,learned_prototype_event_time,cross_dataset_compatible,2,4,6,3,0.09988956062295351,0.010310698317357042,0.3526526098654023,0.9999999999999998,0.09988956062295351
domain_c/series_002_event_0,domain_c/series_002,middle_30,dtw_aligned_donor__cross_dataset_compatible,dtw_aligned_donor,cross_dataset_compatible,2,4,6,3,0.03961910769245924,0.0016671710376151873,0.13987229137009166,1.0,0.03961910769245924
domain_c/series_002_event_1,domain_c/series_002,middle_30,learned_prototype_event_time__all_donors_no_filter,learned_prototype_event_time,all_donors_no_filter,3,5,8,3,0.2401862491294111,0.09323667105938395,0.4414210558851165,1.0,0.2401862491294111
domain_c/series_002_event_1,domain_c/series_002,middle_30,learned_prototype_event_time__cross_dataset_compatible,learned_prototype_event_time,cross_dataset_compatible,3,5,8,3,0.2401862491294111,0.09323667105938395,0.4414210558851165,1.0,0.2401862491294111
domain_c/series_002_event_1,domain_c/series_002,middle_30,dtw_aligned_donor__cross_dataset_compatible,dtw_aligned_donor,cross_dataset_compatible,3,5,8,3,0.21953288804851856,0.05632363639613622,0.40346372698327726,1.0,0.21953288804851856
domain_c/series_002_event_2,domain_c/series_002,middle_30,learned_prototype_event_time__all_donors_no_filter,learned_prototype_event_time,all_donors_no_filter,4,8,12,3,0.8341769533756559,1.0514921179754806,0.8599525866623415,0.621512867168085,0.7386257254309798
domain_c/series_002_event_2,domain_c/series_002,middle_30,learned_prototype_event_time__cross_dataset_compatible,learned_prototype_event_time,cross_dataset_compatible,4,8,12,3,0.8341769533756559,1.0514921179754806,0.8599525866623415,0.621512867168085,0.7386257254309798
domain_c/series_002_event_2,domain_c/series_002,middle_30,dtw_aligned_donor__cross_dataset_compatible,dtw_aligned_donor,cross_dataset_compatible,4,8,12,3,0.7013004213959347,0.9382012762594363,0.7229702390677727,0.9218051584245746,0.4723312756656304
domain_c/series_002_event_3,domain_c/series_002,middle_30,learned_prototype_event_time__all_donors_no_filter,learned_prototype_event_time,all_donors_no_filter,2,4,7,3,0.4186536445492628,0.20240327101290528,1.1781710134920378,1.0,0.4186536445492628
domain_c/series_002_event_3,domain_c/series_002,middle_30,learned_prototype_event_time__cross_dataset_compatible,learned_prototype_event_time,cross_dataset_compatible,2,4,7,3,0.4186536445492628,0.20240327101290528,1.1781710134920378,1.0,0.4186536445492628
domain_c/series_002_event_3,domain_c/series_002,middle_30,dtw_aligned_donor__cross_dataset_compatible,dtw_aligned_donor,cross_dataset_compatible,2,4,7,3,0.22813465850747872,0.057698972523522726,0.6420143364947793,1.0,0.22813465850747872
domain_c/series_002_event_4,domain_c/series_002,middle_30,learned_prototype_event_time__all_donors_no_filter,learned_prototype_event_time,all_donors_no_filter,2,4,6,3,0.6403417324795786,0.41240026540348906,1.804731381519028,-0.9999999999999998,0.6403417324795786
domain_c/series_002_event_4,domain_c/series_002,middle_30,learned_prototype_event_time__cross_dataset_compatible,learned_prototype_event_time,cross_dataset_compatible,2,4,6,3,0.6403417324795786,0.41240026540348906,1.804731381519028,-0.9999999999999998,0.6403417324795786
domain_c/series_002_event_4,domain_c/series_002,middle_30,dtw_aligned_donor__cross_dataset_compatible,dtw_aligned_donor,cross_dataset_compatible,2,4,6,3,0.3235107841660063,0.1075874311387835,0.9117788749819464,1.0,0.3235107841660063
domain_c/series_002_event_5,domain_c/series_002,middle_30,learned_prototype_event_time__all_donors_no_filter,learned_prototype_event_time,all_donors_no_filter,2,4,6,3,0.07545175201413734,0.011359882377994887,0.232253849427999,1.0,0.07545175201413734
domain_c/series_002_event_5,domain_c/series_002,middle_30,learned_prototype_event_time__cross_dataset_compatible,learned_prototype_event_time,cross_dataset_compatible,2,4,6,3,0.07545175201413734,0.011359882377994887,0.232253849427999,1.0,0.07545175201413734
domain_c/series_002_event_5,domain_c/series_002,middle_30,dtw_aligned_donor__cross_dataset_compatible,dtw_aligned_donor,cross_dataset_compatible,2,4,6,3,0.14005503062211866,0.020875003589961458,0.43111417727779905,1.0,0.14005503062211866
