series_id,num_points,num_anomaly_points,num_true_event_windows,num_pred_event_windows,auprc,point_precision,point_recall,point_f1,point_auroc,point_auprc,event_precision,event_recall,event_f1,false_positive_event_count,event_count_true,event_count_pred,method,donor_policy,synthesis_method,labeled_fraction
domain_c/series_002,120,61,9,8,0.9697503432619687,0.9433962264150944,0.819672131147541,0.8771929824561403,0.9684634620727981,0.9697503432619687,1.0,0.8888888888888888,0.9411764705882353,0.0,9.0,8.0,real_only,,,0.2
domain_c/series_005,120,62,10,7,0.9961538434497631,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.9958286985539488,0.9961538434497631,1.0,0.7,0.8235294117647058,0.0,10.0,7.0,real_only,,,0.2
domain_c/series_008,120,68,10,6,0.9999999999999998,0.9855072463768116,1.0,0.9927007299270073,1.0,0.9999999999999998,1.0,0.6,0.7499999999999999,0.0,10.0,6.0,real_only,,,0.2
domain_c/series_011,120,73,9,5,0.9955075426082287,0.9726027397260274,0.9726027397260274,0.9726027397260274,0.9932964150393471,0.9955075426082287,1.0,0.5555555555555556,0.7142857142857143,0.0,9.0,5.0,real_only,,,0.2
domain_c/series_014,120,65,10,7,0.9993212669683258,1.0,0.9230769230769231,0.96,0.9991608391608392,0.9993212669683258,1.0,0.7,0.8235294117647058,0.0,10.0,7.0,real_only,,,0.2
domain_c/series_017,120,67,10,7,0.997759030932295,1.0,0.9552238805970149,0.9770992366412213,0.9969022810475923,0.997759030932295,1.0,0.7,0.8235294117647058,0.0,10.0,7.0,real_only,,,0.2
domain_c/series_020,120,64,10,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.888888888888889,0.0,10.0,8.0,real_only,,,0.2
domain_c/series_023,120,62,8,7,0.9925709608539752,1.0,0.8709677419354839,0.9310344827586207,0.9920745272525028,0.9925709608539752,1.0,0.875,0.9333333333333333,0.0,8.0,7.0,real_only,,,0.2
domain_c/series_026,120,67,8,7,0.9984486022906327,0.9841269841269841,0.9253731343283582,0.9538461538461539,0.9980287243030133,0.9984486022906327,1.0,0.875,0.9333333333333333,0.0,8.0,7.0,real_only,,,0.2
domain_c/series_029,120,66,9,6,0.9762096375765207,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9755892255892256,0.9762096375765207,1.0,0.6666666666666666,0.8,0.0,9.0,6.0,real_only,,,0.2
domain_c/series_002,120,61,9,8,0.9779808861927872,0.9387755102040817,0.7540983606557377,0.8363636363636363,0.9786051681022506,0.9779808861927872,1.0,0.8888888888888888,0.9411764705882353,0.0,9.0,8.0,random_event_oversampling,,,0.2
domain_c/series_005,120,62,10,7,0.9924905492833306,0.9818181818181818,0.8709677419354839,0.9230769230769231,0.9922135706340378,0.9924905492833306,1.0,0.7,0.8235294117647058,0.0,10.0,7.0,random_event_oversampling,,,0.2
domain_c/series_008,120,68,10,7,0.9889363253638495,0.9661016949152542,0.8382352941176471,0.8976377952755905,0.9864253393665158,0.9889363253638495,1.0,0.7,0.8235294117647058,0.0,10.0,7.0,random_event_oversampling,,,0.2
domain_c/series_011,120,73,9,6,0.9970120838356107,1.0,0.863013698630137,0.9264705882352942,0.9954823666569513,0.9970120838356107,1.0,0.6666666666666666,0.8,0.0,9.0,6.0,random_event_oversampling,,,0.2
domain_c/series_014,120,65,10,7,0.971756212828899,0.9583333333333334,0.7076923076923077,0.8141592920353983,0.9693706293706295,0.971756212828899,1.0,0.7,0.8235294117647058,0.0,10.0,7.0,random_event_oversampling,,,0.2
domain_c/series_017,120,67,10,7,0.9941654308360184,1.0,0.835820895522388,0.9105691056910569,0.9907068431427767,0.9941654308360184,1.0,0.7,0.8235294117647058,0.0,10.0,7.0,random_event_oversampling,,,0.2
domain_c/series_020,120,64,10,8,0.9990343586534993,1.0,0.921875,0.959349593495935,0.9988839285714285,0.9990343586534993,1.0,0.8,0.888888888888889,0.0,10.0,8.0,random_event_oversampling,,,0.2
domain_c/series_023,120,62,8,6,0.9844944072532493,0.9615384615384616,0.8064516129032258,0.8771929824561403,0.9833147942157954,0.9844944072532493,1.0,0.75,0.8571428571428571,0.0,8.0,6.0,random_event_oversampling,,,0.2
domain_c/series_026,120,67,8,7,0.9931198356121452,1.0,0.8059701492537313,0.8925619834710744,0.9907068431427767,0.9931198356121452,1.0,0.875,0.9333333333333333,0.0,8.0,7.0,random_event_oversampling,,,0.2
domain_c/series_029,120,66,9,7,0.9478602940874683,0.9298245614035088,0.803030303030303,0.8617886178861789,0.9525813692480359,0.9478602940874683,1.0,0.7777777777777778,0.8750000000000001,0.0,9.0,7.0,random_event_oversampling,,,0.2
domain_c/series_002,120,61,9,7,0.9716231403104687,0.9347826086956522,0.7049180327868853,0.8037383177570093,0.9736037788274521,0.9716231403104687,1.0,0.7777777777777778,0.8750000000000001,0.0,9.0,7.0,learned_prototype_event_time__all_donors_no_filter,all_donors_no_filter,learned_prototype_event_time,0.2
domain_c/series_005,120,62,10,7,0.9922385279387187,0.9811320754716981,0.8387096774193549,0.9043478260869565,0.9916573971078976,0.9922385279387187,1.0,0.7,0.8235294117647058,0.0,10.0,7.0,learned_prototype_event_time__all_donors_no_filter,all_donors_no_filter,learned_prototype_event_time,0.2
domain_c/series_008,120,68,10,7,0.9978768650741403,1.0,0.8529411764705882,0.9206349206349206,0.9971719457013575,0.9978768650741403,1.0,0.7,0.8235294117647058,0.0,10.0,7.0,learned_prototype_event_time__all_donors_no_filter,all_donors_no_filter,learned_prototype_event_time,0.2
domain_c/series_011,120,73,9,5,0.9959363385111171,1.0,0.821917808219178,0.9022556390977443,0.9935878752550277,0.9959363385111171,1.0,0.5555555555555556,0.7142857142857143,0.0,9.0,5.0,learned_prototype_event_time__all_donors_no_filter,all_donors_no_filter,learned_prototype_event_time,0.2
domain_c/series_014,120,65,10,5,0.9900180456798102,1.0,0.6307692307692307,0.7735849056603774,0.9862937062937063,0.9900180456798102,1.0,0.5,0.6666666666666666,0.0,10.0,5.0,learned_prototype_event_time__all_donors_no_filter,all_donors_no_filter,learned_prototype_event_time,0.2
domain_c/series_017,120,67,10,7,0.9912382963222518,1.0,0.7313432835820896,0.8448275862068966,0.9871867079695861,0.9912382963222518,1.0,0.7,0.8235294117647058,0.0,10.0,7.0,learned_prototype_event_time__all_donors_no_filter,all_donors_no_filter,learned_prototype_event_time,0.2
domain_c/series_020,120,64,10,8,0.9988196039035591,1.0,0.9375,0.967741935483871,0.9986049107142857,0.9988196039035591,1.0,0.8,0.888888888888889,0.0,10.0,8.0,learned_prototype_event_time__all_donors_no_filter,all_donors_no_filter,learned_prototype_event_time,0.2
domain_c/series_023,120,62,8,7,0.9931200511955838,1.0,0.8064516129032258,0.8928571428571429,0.9924916573971079,0.9931200511955838,1.0,0.875,0.9333333333333333,0.0,8.0,7.0,learned_prototype_event_time__all_donors_no_filter,all_donors_no_filter,learned_prototype_event_time,0.2
domain_c/series_026,120,67,8,7,0.998255648742346,1.0,0.8059701492537313,0.8925619834710744,0.997747113489158,0.998255648742346,1.0,0.875,0.9333333333333333,0.0,8.0,7.0,learned_prototype_event_time__all_donors_no_filter,all_donors_no_filter,learned_prototype_event_time,0.2
domain_c/series_029,120,66,9,5,0.978423806877448,0.9464285714285714,0.803030303030303,0.8688524590163934,0.9732042648709315,0.978423806877448,1.0,0.5555555555555556,0.7142857142857143,0.0,9.0,5.0,learned_prototype_event_time__all_donors_no_filter,all_donors_no_filter,learned_prototype_event_time,0.2
domain_c/series_002,120,61,9,8,0.9825761816662993,0.9433962264150944,0.819672131147541,0.8771929824561403,0.981661572659072,0.9825761816662993,1.0,0.8888888888888888,0.9411764705882353,0.0,9.0,8.0,learned_prototype_event_time__cross_dataset_compatible,cross_dataset_compatible,learned_prototype_event_time,0.2
domain_c/series_005,120,62,10,8,0.992342369675107,0.9824561403508771,0.9032258064516129,0.9411764705882353,0.9916573971078977,0.992342369675107,1.0,0.8,0.888888888888889,0.0,10.0,8.0,learned_prototype_event_time__cross_dataset_compatible,cross_dataset_compatible,learned_prototype_event_time,0.2
domain_c/series_008,120,68,10,7,0.997099011307699,1.0,0.9264705882352942,0.9618320610687023,0.9960407239819005,0.997099011307699,1.0,0.7,0.8235294117647058,0.0,10.0,7.0,learned_prototype_event_time__cross_dataset_compatible,cross_dataset_compatible,learned_prototype_event_time,0.2
