candidate_id,method,labeled_fraction,target_series_id,source_series_id,target_start,target_end,target_length,target_dataset,source_dataset,same_dataset,donor_policy,synthesis_method,filter_method,compatibility_enabled,compatibility_score,shape_similarity,amplitude_compatibility,duration_compatibility,context_similarity,frequency_similarity,trend_similarity,compatibility_decision,compatibility_rejection_reason,donor_similarity,reconstruction_consistency,donor_agreement,filter_amplitude_compatibility,final_confidence,calibration_method,scale,shift,boundary_continuity_error,accepted,rejection_reason,rejection_stage,donor_series_ids,donor_starts,donor_ends,donor_lengths,donor_similarity_mean,donor_similarity_min,donor_similarity_max
domain_b/series_001:6:11:learned_prototype_event_time__all_donors_no_filter,learned_prototype_event_time__all_donors_no_filter,0.2,domain_b/series_001,domain_b/series_019,6,11,5,domain_b,domain_b,True,all_donors_no_filter,learned_prototype_event_time,no_filter,False,,,,,,,,not_applied,,0.9953601423272692,0.9924637695868841,0.9979190945472336,0.3901704508391241,0.8445583465342191,none,1.0,0.0,,True,,kept,domain_b/series_019|domain_b/series_022|domain_b/series_004,7|67|77,13|73|82,6|6|5,0.9953601423272692,0.9935479411636889,0.9970550333917916
domain_b/series_001:18:23:learned_prototype_event_time__all_donors_no_filter,learned_prototype_event_time__all_donors_no_filter,0.2,domain_b/series_001,domain_b/series_022,18,23,5,domain_b,domain_b,True,all_donors_no_filter,learned_prototype_event_time,no_filter,False,,,,,,,,not_applied,,0.9943817417806465,0.996742316580584,0.9974797679517874,0.29018346293187436,0.8203991045886423,none,1.0,0.0,,True,,kept,domain_b/series_022|domain_b/series_004|domain_b/series_010,77|66|8,83|72|14,6|6|6,0.9943817417806465,0.9933099919877731,0.9954402116516464
domain_b/series_004:39:45:learned_prototype_event_time__all_donors_no_filter,learned_prototype_event_time__all_donors_no_filter,0.2,domain_b/series_004,domain_b/series_019,39,45,6,domain_b,domain_b,True,all_donors_no_filter,learned_prototype_event_time,no_filter,False,,,,,,,,not_applied,,0.9863750849917583,0.9954327242713017,0.9934279963020861,0.1644226355463765,0.7866177246539109,none,1.0,0.0,,True,,kept,domain_b/series_019|domain_b/series_013|domain_b/series_010,50|8|58,55|16|66,5|8|8,0.9863750849917583,0.9828158409324677,0.9918702252348328
domain_b/series_004:49:54:learned_prototype_event_time__all_donors_no_filter,learned_prototype_event_time__all_donors_no_filter,0.2,domain_b/series_004,domain_b/series_010,49,54,5,domain_b,domain_b,True,all_donors_no_filter,learned_prototype_event_time,no_filter,False,,,,,,,,not_applied,,0.9846418392421151,0.9971284869754368,0.9946131394463166,0.22025118421063442,0.8010784325633613,none,1.0,0.0,,True,,kept,domain_b/series_010|domain_b/series_001|domain_b/series_019,58|50|50,66|55|55,8|5|5,0.9846418392421151,0.9812419575170527,0.9878492257862448
domain_b/series_007:16:24:learned_prototype_event_time__all_donors_no_filter,learned_prototype_event_time__all_donors_no_filter,0.2,domain_b/series_007,domain_b/series_016,16,24,8,domain_b,domain_b,True,all_donors_no_filter,learned_prototype_event_time,no_filter,False,,,,,,,,not_applied,,0.9935438313468464,0.9996884424820778,0.9985441946736525,0.25059855073414994,0.8114007758908258,none,1.0,0.0,,True,,kept,domain_b/series_016|domain_b/series_010|domain_b/series_028,77|76|59,84|84|64,7|8|5,0.9935438313468464,0.9925224333882449,0.9952052198235426
domain_b/series_010:16:24:learned_prototype_event_time__all_donors_no_filter,learned_prototype_event_time__all_donors_no_filter,0.2,domain_b/series_010,domain_b/series_025,16,24,8,domain_b,domain_b,True,all_donors_no_filter,learned_prototype_event_time,no_filter,False,,,,,,,,not_applied,,0.9922122995007738,0.9995576658247671,0.9952102183832662,0.48053714668627473,0.8678527951611738,none,1.0,0.0,,True,,kept,domain_b/series_025|domain_b/series_001|domain_b/series_007,78|57|77,86|64|83,8|7|6,0.9922122995007738,0.9913642214413659,0.9932725580548958
domain_b/series_010:28:34:learned_prototype_event_time__all_donors_no_filter,learned_prototype_event_time__all_donors_no_filter,0.2,domain_b/series_010,domain_b/series_028,28,34,6,domain_b,domain_b,True,all_donors_no_filter,learned_prototype_event_time,no_filter,False,,,,,,,,not_applied,,0.9908287454320174,0.9985358537264786,0.9985958197108777,0.08687814239236184,0.7698560471364317,none,1.0,0.0,,True,,kept,domain_b/series_028|domain_b/series_022|domain_b/series_013,67|90|8,74|95|16,7|5|8,0.9908287454320174,0.9891808153219915,0.9921187595370718
domain_b/series_013:20:34:learned_prototype_event_time__all_donors_no_filter,learned_prototype_event_time__all_donors_no_filter,0.2,domain_b/series_013,domain_b/series_028,20,34,14,domain_b,domain_b,True,all_donors_no_filter,learned_prototype_event_time,no_filter,False,,,,,,,,not_applied,,0.9804442753814251,0.9930855789932903,0.98257560963428,0.2303970707144856,0.7990700992581922,none,1.0,0.0,,True,,kept,domain_b/series_028|domain_b/series_016|domain_b/series_025,20|30|36,35|41|43,15|11|7,0.9804442753814251,0.9763090977039027,0.9855694131368226
domain_b/series_013:58:71:learned_prototype_event_time__all_donors_no_filter,learned_prototype_event_time__all_donors_no_filter,0.2,domain_b/series_013,domain_b/series_001,58,71,13,domain_b,domain_b,True,all_donors_no_filter,learned_prototype_event_time,no_filter,False,,,,,,,,not_applied,,0.9829997773111884,0.9998083638390142,0.9921525131322406,0.07384269937219769,0.7643258662497617,none,1.0,0.0,,True,,kept,domain_b/series_001|domain_b/series_010|domain_b/series_004,28|99|39,36|107|45,8|8|6,0.9829997773111884,0.9804295224202323,0.9870111173791384
domain_b/series_016:8:15:learned_prototype_event_time__all_donors_no_filter,learned_prototype_event_time__all_donors_no_filter,0.2,domain_b/series_016,domain_b/series_022,8,15,7,domain_b,domain_b,True,all_donors_no_filter,learned_prototype_event_time,no_filter,False,,,,,,,,not_applied,,0.9950199928509704,0.9995624304590042,0.9983913691614553,0.1595245635382386,0.7887470898960458,none,1.0,0.0,,True,,kept,domain_b/series_022|domain_b/series_028|domain_b/series_010,30|59|8,35|64|14,5|5|6,0.9950199928509704,0.9945645806368593,0.9954202739711671
