method,donor_policy,synthesis_method,filter_policy,compatibility_enabled,labeled_fraction,auroc,auprc,best_point_f1,event_precision,event_recall,event_f1,false_positive_events,metrics_valid,metrics_invalid_reason,num_synthetic_windows,num_synthetic_points,num_rejected_synthetic_windows,num_real_positive_train_points
real_only,,,,False,0.2,0.998717292906746,0.9988849857896265,0.981675392670157,0.9622641509433962,0.9807692307692307,0.9714285714285713,2.0,True,,0,0,0,304
random_event_oversampling,,,,False,0.2,0.9934353298611112,0.9933101986365449,0.9762532981530343,0.9444444444444444,0.9807692307692307,0.9622641509433962,3.0,True,,0,912,0,304
learned_prototype_event_time__all_donors_no_filter,all_donors_no_filter,learned_prototype_event_time,none,False,0.2,0.9975624689980158,0.9980110827258547,0.9721115537848606,0.9122807017543859,1.0,0.9541284403669724,5.0,True,,41,304,943,304
learned_prototype_event_time__same_dataset_only,same_dataset_only,learned_prototype_event_time,none,False,0.2,0.9973648313492063,0.9977182580920163,0.9730423620025674,0.9444444444444444,0.9807692307692307,0.9622641509433962,3.0,True,,41,304,287,304
learned_prototype_event_time__cross_dataset_all,cross_dataset_all,learned_prototype_event_time,none,False,0.2,0.9976826016865079,0.9980038675679874,0.9803921568627451,0.9444444444444444,0.9807692307692307,0.9622641509433962,3.0,True,,41,304,656,304
learned_prototype_event_time__cross_dataset_compatible,cross_dataset_compatible,learned_prototype_event_time,none,True,0.2,0.998108878968254,0.9983386957026777,0.9816272965879265,0.9622641509433962,0.9807692307692307,0.9714285714285713,2.0,True,,41,304,656,304
learned_prototype_event_time__compatibility_top50,compatibility_top50,learned_prototype_event_time,none,True,0.2,0.9963223896329365,0.9968146997993755,0.9754838709677419,0.9622641509433962,0.9807692307692307,0.9714285714285713,2.0,True,,41,304,943,304
learned_prototype_event_time__compatibility_strict,compatibility_strict,learned_prototype_event_time,none,True,0.2,0.997589595734127,0.9979190814040333,0.9817708333333334,0.9807692307692307,0.9807692307692307,0.9807692307692307,1.0,True,,41,304,943,304
learned_prototype_event_time__strict_filter,cross_dataset_compatible,learned_prototype_event_time,strict,True,0.2,0.9982212611607143,0.9985168760189339,0.9818652849740933,0.9444444444444444,0.9807692307692307,0.9622641509433962,3.0,True,,6,45,691,304
dtw_aligned_donor__cross_dataset_compatible,cross_dataset_compatible,dtw_aligned_donor,none,True,0.2,0.9974268353174603,0.9978616554611535,0.975609756097561,0.9444444444444444,0.9807692307692307,0.9622641509433962,3.0,True,,41,304,656,304
normalized_time_mean_donor__cross_dataset_compatible,cross_dataset_compatible,normalized_time_mean_donor,none,True,0.2,0.9976360987103174,0.9979130431387275,0.9803921568627451,0.9444444444444444,0.9807692307692307,0.9622641509433962,3.0,True,,41,304,656,304
