event_id,series_id,mask_policy,method,synthesis_method,donor_policy,mask_start,mask_end,event_length,num_donors,masked_region_MAE,masked_region_MSE,normalized_MAE_by_event_std,shape_correlation,boundary_continuity_error
domain_a/series_000_event_0,domain_a/series_000,middle_30,learned_prototype_event_time__all_donors_no_filter,learned_prototype_event_time,all_donors_no_filter,1,3,5,2,0.4537934535014174,0.2634458860162584,1.571791774394011,1.0,0.4537934535014174
domain_a/series_000_event_0,domain_a/series_000,middle_30,learned_prototype_event_time__same_dataset_only,learned_prototype_event_time,same_dataset_only,1,3,5,2,0.5608662040302042,0.3236983908093127,1.9426566849482207,1.0,0.5608662040302042
domain_a/series_000_event_0,domain_a/series_000,middle_30,learned_prototype_event_time__cross_dataset_all,learned_prototype_event_time,cross_dataset_all,1,3,5,2,0.4537934535014174,0.2634458860162584,1.571791774394011,1.0,0.4537934535014174
domain_a/series_000_event_0,domain_a/series_000,middle_30,learned_prototype_event_time__cross_dataset_compatible,learned_prototype_event_time,cross_dataset_compatible,1,3,5,2,0.4537934535014174,0.2634458860162584,1.571791774394011,1.0,0.4537934535014174
domain_a/series_000_event_0,domain_a/series_000,middle_30,learned_prototype_event_time__compatibility_top50,learned_prototype_event_time,compatibility_top50,1,3,5,2,0.47648333091688455,0.2277688891499739,1.6503820722673328,1.0,0.47648333091688455
domain_a/series_000_event_0,domain_a/series_000,middle_30,learned_prototype_event_time__compatibility_strict,learned_prototype_event_time,compatibility_strict,1,3,5,2,0.4537934535014174,0.2634458860162584,1.571791774394011,1.0,0.4537934535014174
domain_a/series_000_event_0,domain_a/series_000,middle_30,learned_prototype_event_time__strict_filter,learned_prototype_event_time,cross_dataset_compatible,1,3,5,2,0.4537934535014174,0.2634458860162584,1.571791774394011,1.0,0.4537934535014174
domain_a/series_000_event_0,domain_a/series_000,middle_30,dtw_aligned_donor__cross_dataset_compatible,dtw_aligned_donor,cross_dataset_compatible,1,3,5,2,0.3333988196158575,0.16457207943870167,1.154784226659719,-1.0,0.3333988196158575
domain_a/series_000_event_0,domain_a/series_000,middle_30,normalized_time_mean_donor__cross_dataset_compatible,normalized_time_mean_donor,cross_dataset_compatible,1,3,5,2,0.4528778108249565,0.2647344858372203,1.5686202883004134,1.0,0.4528778108249565
domain_a/series_000_event_0,domain_a/series_000,suffix_30,learned_prototype_event_time__all_donors_no_filter,learned_prototype_event_time,all_donors_no_filter,3,5,5,2,0.33552888805191383,0.11298921664562805,1.1621620855090629,0.9999999999999999,0.31529075749906044
domain_a/series_000_event_0,domain_a/series_000,suffix_30,learned_prototype_event_time__same_dataset_only,learned_prototype_event_time,same_dataset_only,3,5,5,2,0.36210691261008154,0.13789161713166617,1.2542196505925562,1.0,0.27982568162961474
domain_a/series_000_event_0,domain_a/series_000,suffix_30,learned_prototype_event_time__cross_dataset_all,learned_prototype_event_time,cross_dataset_all,3,5,5,2,0.33552888805191383,0.11298921664562805,1.1621620855090629,0.9999999999999999,0.31529075749906044
domain_a/series_000_event_0,domain_a/series_000,suffix_30,learned_prototype_event_time__cross_dataset_compatible,learned_prototype_event_time,cross_dataset_compatible,3,5,5,2,0.33552888805191383,0.11298921664562805,1.1621620855090629,0.9999999999999999,0.31529075749906044
domain_a/series_000_event_0,domain_a/series_000,suffix_30,learned_prototype_event_time__compatibility_top50,learned_prototype_event_time,compatibility_top50,3,5,5,2,0.07934541474888257,0.007416550358204776,0.2748265081302794,1.0,0.04586623440448667
domain_a/series_000_event_0,domain_a/series_000,suffix_30,learned_prototype_event_time__compatibility_strict,learned_prototype_event_time,compatibility_strict,3,5,5,2,0.33552888805191383,0.11298921664562805,1.1621620855090629,0.9999999999999999,0.31529075749906044
domain_a/series_000_event_0,domain_a/series_000,suffix_30,learned_prototype_event_time__strict_filter,learned_prototype_event_time,cross_dataset_compatible,3,5,5,2,0.33552888805191383,0.11298921664562805,1.1621620855090629,0.9999999999999999,0.31529075749906044
domain_a/series_000_event_0,domain_a/series_000,suffix_30,dtw_aligned_donor__cross_dataset_compatible,dtw_aligned_donor,cross_dataset_compatible,3,5,5,2,0.28254176689190214,0.08360066708176803,0.9786320664100431,0.9999999999999998,0.22113478810797194
domain_a/series_000_event_0,domain_a/series_000,suffix_30,normalized_time_mean_donor__cross_dataset_compatible,normalized_time_mean_donor,cross_dataset_compatible,3,5,5,2,0.33378818233827134,0.1118976199123165,1.1561328515013154,0.9999999999999999,0.31180934607177546
domain_a/series_000_event_1,domain_a/series_000,middle_30,learned_prototype_event_time__all_donors_no_filter,learned_prototype_event_time,all_donors_no_filter,1,3,5,2,0.7146027932157522,0.5338769615024033,2.961511242509447,-1.0,0.7146027932157522
