budget_label,detector,No Aug. F1,Random Aug. F1,TES-Adaptive F1,Adaptive ? vs No,Adaptive ? vs Random,No Aug. FP,Random Aug. FP,TES-Adaptive FP,Best TES policy,Best TES F1,Best TES ? vs Random
5%,autoencoder,0.001418439716312,0.0148836846213895,0.0311342306883924,0.0297157909720804,0.0162505460670029,0.6,111.2,163.4,groupwise_cross_dataset_compatible,0.0314562474420304,0.016572562820640898
5%,cnn,0.0123200823200823,0.0412941132729774,0.0316245493162454,0.0193044669961631,-0.009669563956731998,15.2,214.6,135.2,groupwise_compatibility_strict,0.038912057085473,-0.0023820561875044013
5%,iforest,0.0011461318051575,0.0351976047904191,0.034,0.032853868194842505,-0.0011976047904190962,22.4,52.0,39.0,groupwise_cross_dataset_all,0.0567268996112466,0.0215292948208275
5%,internal_classifier,0.1143467296476697,0.0878751216785706,0.0947843832862767,-0.019562346361393007,0.006909261607706094,370.2,385.8,324.8,adaptive_groupwise_transfer,0.0947843832862767,0.006909261607706094
5%,lof,0.0303244396571681,0.0250833173763063,0.0361273563613754,0.005802916704207302,0.011044038985069102,79.6,80.8,151.2,groupwise_compatibility_strict,0.0521575312527318,0.0270742138764255
5%,ocsvm,0.0022099447513812,0.0024922118380062,0.0022099447513812,0.0,-0.0002822670866249998,16.4,8.2,16.4,adaptive_groupwise_transfer,0.0022099447513812,-0.0002822670866249998
5%,timesnet,0.0078363914373088,0.0100799811808986,0.0078363914373088,0.0,-0.0022435897435898,1.2,5.6,1.2,adaptive_groupwise_transfer,0.0078363914373088,-0.0022435897435898
10%,autoencoder,0.001418439716312,0.0465614488080643,0.0482845198546192,0.046866080138307196,0.0017230710465548985,0.6,165.4,205.6,adaptive_groupwise_transfer,0.0482845198546192,0.0017230710465548985
10%,cnn,0.0123200823200823,0.0411103762877213,0.0297254229181455,0.017405340598063198,-0.011384953369575804,15.2,216.2,164.8,groupwise_compatibility_strict,0.0372890808164614,-0.0038212954712599015
10%,iforest,0.0011461318051575,0.0367088036117381,0.053187076602397,0.0520409447972395,0.016478272990658897,22.4,80.2,65.8,adaptive_groupwise_transfer,0.053187076602397,0.016478272990658897
10%,internal_classifier,0.0590915299064866,0.0585572516475644,0.0442176162630551,-0.014873913643431498,-0.014339635384509303,184.2,304.4,176.6,groupwise_compatibility_strict,0.0567603238599644,-0.0017969277876000028
10%,lof,0.0303244396571681,0.0251353957716763,0.0368790991953005,0.006554659538132404,0.011743703423624203,79.6,80.0,118.4,groupwise_cross_dataset_all,0.0374710057362478,0.0123356099645715
10%,ocsvm,0.0022099447513812,0.0025078369905956,0.0022099447513812,0.0,-0.00029789223921440015,16.4,7.8,16.4,adaptive_groupwise_transfer,0.0022099447513812,-0.00029789223921440015
10%,timesnet,0.0078363914373088,0.0100799811808986,0.0078363914373088,0.0,-0.0022435897435898,1.2,5.6,1.2,adaptive_groupwise_transfer,0.0078363914373088,-0.0022435897435898
