budget_label,labeled_fraction_values,detector,No Aug. F1,No Aug. FP,No Aug. P,No Aug. R,Random Aug. F1,Random Aug. FP,Random Aug. P,Random Aug. R,TES-Adaptive F1,TES-Adaptive FP,TES-Adaptive P,TES-Adaptive R,TES-Compatible F1,TES-Compatible FP,TES-Compatible P,TES-Compatible R,TES-All F1,TES-All FP,TES-All P,TES-All R,TES-Strict F1,TES-Strict FP,TES-Strict P,TES-Strict R,Best TES policy,Best TES F1,Best TES FP,Adaptive ? vs No,Adaptive ? vs Random,Best TES ? vs No,Best TES ? vs Random
5%,[0.05],autoencoder,0.001418439716312,0.6,0.1,0.0007142857142857,0.0148836846213895,111.2,0.0339642147117296,0.0308645560047429,0.0311342306883924,163.4,0.040171175525345,0.0432290773532959,0.0314562474420304,87.6,0.0478357753357753,0.0244754614080602,0.0311342306883924,163.4,0.040171175525345,0.0432290773532959,0.0276138588056313,129.0,0.0289440761396985,0.1055871140273,groupwise_cross_dataset_compatible,0.0314562474420304,87.6,0.0297157909720804,0.0162505460670029,0.0300378077257184,0.016572562820640898
5%,[0.05],cnn,0.0123200823200823,15.2,0.1563386524822695,0.0065804755991671,0.0412941132729774,214.6,0.1038888685749236,0.098176286827112,0.0316245493162454,135.2,0.0315187985465369,0.0723117308223691,0.025391621129326,108.2,0.02048414843942,0.0681458966565349,0.0316245493162454,135.2,0.0315187985465369,0.0723117308223691,0.038912057085473,140.4,0.1784001511759746,0.0756716521413793,groupwise_compatibility_strict,0.038912057085473,140.4,0.0193044669961631,-0.009669563956731998,0.026591974765390696,-0.0023820561875044013
5%,[0.05],iforest,0.0011461318051575,22.4,0.0028985507246376,0.0007142857142857,0.0351976047904191,52.0,0.0284722222222222,0.073002677187544,0.034,39.0,0.0222222222222222,0.0723404255319149,0.034,39.0,0.0222222222222222,0.0723404255319149,0.0567268996112466,78.2,0.0617396345373378,0.0893315185510453,0.0276233847641056,44.8,0.0455325388407063,0.0198942546814887,groupwise_cross_dataset_all,0.0567268996112466,78.2,0.032853868194842505,-0.0011976047904190962,0.0555807678060891,0.0215292948208275
5%,[0.05],internal_classifier,0.1143467296476697,370.2,0.0977696185057733,0.1939218177405038,0.0878751216785706,385.8,0.0668881057440363,0.168333422624093,0.0947843832862767,324.8,0.0775948590109562,0.2143778578308042,0.0520894568973585,205.6,0.0812780497430452,0.1242839410099039,0.0947843832862767,324.8,0.0775948590109562,0.2143778578308042,0.0934231704556492,403.8,0.0811625757892351,0.2296021547347762,adaptive_groupwise_transfer,0.0947843832862767,324.8,-0.019562346361393007,0.006909261607706094,-0.019562346361393007,0.006909261607706094
5%,[0.05],lof,0.0303244396571681,79.6,0.0579329234006275,0.0468697260186621,0.0250833173763063,80.8,0.0602550759072498,0.0430302211526672,0.0361273563613754,151.2,0.0382169923558032,0.0606081838225405,0.0361273563613754,151.2,0.0382169923558032,0.0606081838225405,0.0347855336401063,127.2,0.0449358138997992,0.0832525607222366,0.0521575312527318,131.4,0.1170048116011569,0.0644287894717653,groupwise_compatibility_strict,0.0521575312527318,131.4,0.005802916704207302,0.011044038985069102,0.0218330915955637,0.0270742138764255
5%,[0.05],ocsvm,0.0022099447513812,16.4,0.0048780487804878,0.0014285714285714,0.0024922118380062,8.2,0.0097560975609756,0.0014285714285714,0.0022099447513812,16.4,0.0048780487804878,0.0014285714285714,0.0022099447513812,16.4,0.0048780487804878,0.0014285714285714,0.0022099447513812,16.4,0.0048780487804878,0.0014285714285714,0.0022099447513812,16.4,0.0048780487804878,0.0014285714285714,adaptive_groupwise_transfer,0.0022099447513812,16.4,0.0,-0.0002822670866249998,0.0,-0.0002822670866249998
5%,[0.05],timesnet,0.0078363914373088,1.2,0.175,0.0040120160213618,0.0100799811808986,5.6,0.13125,0.0054405874499332,0.0078363914373088,1.2,0.175,0.0040120160213618,0.0078363914373088,1.2,0.175,0.0040120160213618,0.0078363914373088,1.2,0.175,0.0040120160213618,0.0078363914373088,1.2,0.175,0.0040120160213618,adaptive_groupwise_transfer,0.0078363914373088,1.2,0.0,-0.0022435897435898,0.0,-0.0022435897435898
10%,[0.1],autoencoder,0.001418439716312,0.6,0.1,0.0007142857142857,0.0465614488080643,165.4,0.0719993958335097,0.1450757713155804,0.0482845198546192,205.6,0.0450339355908976,0.1446338235475412,0.0480686438985827,159.4,0.1095589034807851,0.1382726962994194,0.0482845198546192,205.6,0.0450339355908976,0.1446338235475412,0.0230522166006036,98.4,0.0139779039248,0.1027899112300972,adaptive_groupwise_transfer,0.0482845198546192,205.6,0.046866080138307196,0.0017230710465548985,0.046866080138307196,0.0017230710465548985
10%,[0.1],cnn,0.0123200823200823,15.2,0.1563386524822695,0.0065804755991671,0.0411103762877213,216.2,0.1035765999772518,0.098176286827112,0.0297254229181455,164.8,0.024859127562421,0.0695228260537546,0.0229325531451336,180.0,0.0132891309495619,0.0838735335056671,0.0297254229181455,164.8,0.024859127562421,0.0695228260537546,0.0372890808164614,136.6,0.1662616107350217,0.0743100997864495,groupwise_compatibility_strict,0.0372890808164614,136.6,0.017405340598063198,-0.011384953369575804,0.0249689984963791,-0.0038212954712599015
10%,[0.1],iforest,0.0011461318051575,22.4,0.0028985507246376,0.0007142857142857,0.0367088036117381,80.2,0.0259032038173142,0.074483282674772,0.053187076602397,65.8,0.0504188798203566,0.0872336164531432,0.053187076602397,65.8,0.0504188798203566,0.0872336164531432,0.0227268996112466,48.6,0.0395174123151156,0.0169910930191304,0.0244654900272635,35.2,0.039149560117302,0.0177963525835866,adaptive_groupwise_transfer,0.053187076602397,65.8,0.0520409447972395,0.016478272990658897,0.0520409447972395,0.016478272990658897
